Title,Description,Company
Senior Backend Engineer,"DataRobot is the leader in ValueDriven AI a unique and collaborative approach to generative and predictive AI that combines an open platform deep expertise and broad usecase experience to improve how organizations run grow and optimize their business The DataRobot AI Platform is the only complete AI lifecycle platform that interoperates with an organizations existing investments in data applications and business processes and can be deployed on prem or on any cloud environment Global organizations including 40 of the Fortune 50 rely on DataRobot to drive greater impact and value from AI
Custom Models domain is a team focused on developing one of the key components of the DataRobot MLOps platform backed by Kubernetes Were building a toolset to run usersupplied ML models and arbitrary code fully equipped with MLOps features data drift accuracy tracking retraining and so on We are looking for a Senior Software Engineer to join us and accelerate building top solutions for our platform
Key Responsibilities
Partners with Product Managers and Data Scientists to determine process and execute on designing and implementing new features and shiping endtoend to both Cloud and Enterprise
Design and build applicationlevel software working with Kubernetes Infrastructure and containers
Partners with the DevOps and Security team to build Enterprise installation and documentation
Lead projects communicate requirements and scope
Design build and document extendable REST APIs using Python Flask and OpenAPI schema
Maintain and improve the existing codebase
Troubleshooting complex production environments at the application and DB level
Evaluate and validate code with tests
Knowledge Skills and Abilities
7 years of professional software development
Strong Python knowledge
Understanding of networking
Building containerized applications
Ability to plan and lead projects from start to finish and explain your design decisions
Great communication skills ability to work in teams share knowledge and write documentation
Computer science fundamentals basic understanding of algorithms and time complexity
Ability to write quality integrationfunctional tests
Nice to have
Bachelors degree in relevant field
Kubernetes fundamentals developerlevel experience
Experience with Docker
Experience with AWSAzureGCP
DevOps fundamentals scripting
Building CICD pipelines using Jenkins
Our benefits include but not limited to
medical insurance for you and your 1
restricted stock units
unlimited vacation policy
quarterly companywide day off for self care
flexible working hours and remote policy
paid parental leave
mental health support services
sport compensation
learning budget
IT equipment",DataRobot
Middle QA Automation (Python),"Must have skills
Understanding of basic OOP concepts
Strong knowledge of Python
Knowledge of testing methodology
Experience in writing test documentation
Experience with bugtracking systems Jira
Experience in functional backend testing without GUI
Basic knowledge of SQL
Good knowledge of Git developer level
Strong knowledge of Linux and its command line tools
Spoken English  UpperIntermediate English is our main language due to the international team
Ability to work without electricity having power banks etc
Nice to have skills
Basic knowledge of Kotlin
Basic knowledge of Kubernetes and Grafana
Responsibilities
Create autotests using Python
Extend custom framework using Python and in some places Kotlin
Analyse issues with the framework that works on Kubernetes and runs as a service where logs are visible in Grafana
Help unblock the team by solving complex issues with the framework or extending the framework
Mentor the team 4 ppl in Python  by teaching them how to resolve complex issues with the framework and doing code review
Maintain automated and manual tests across different releases
Run regression testing analyze results and raise reports
Learn to solve complex environment and product configuration issues  to make sure Automation runs are stable with the help of the team
Work with external team who build the framework  to resolve issues with the framework that cannot be resolved internally
We offer
Work on the companys own product  a trading platform
Very technical and complex product therefore you should be a technical person
Annual paid vacation 20 working days and 10 days of sick leave
The warm and friendly working atmosphere
Work in an international team
Stable longterm project
Remote or office in Gdansk
A big QA team of 30 people
Type of contract  Gig Contract
Ukrainian public holidays  days off
Corporate laptop
Hiring Process Steps
Technical test  20 min Python  testing
HR interview  30 min
Technical interview with a QA Manager and Automation Lead  30  60 min
Interview with a Product Owner and a Direct Manager  45 min
If your CV is relevant to this position our recruiting team will contact you within 5 working days
Please note that half of Quods Ukrainian team is from Kharkiv and speaks russian including some recruiters and hiring managers You are free to speak Ukraininan russian and English but if the language question is very important to you Quod may not be the best fit for you",Quod Financial
Middle Python Developer,"Were opening the position of a Middle Python Developer to the existing team in the current project of our Customers They provide a SaaS solution that helps companies to optimize their business This solution includes business planning to automate and optimize business delivery and workflows The platform leverages industryleading artificial intelligence AI and machine learning ML for better prediction and prevention of disruptions across businesses
Responsibilities
Work together with our Machine Learning Experts Project Managers and other Engineers to advance our Data Science products
Design and develop dataintensive distributed systems in Python using technologies such as Pandas Dask etc
Leverage Microsoft Azure cloud service to build a scalable platform responsible for data ingestion and workload distribution
Support onboarding of the new customers with your expertise in organizational or dataintensive tasks
Develop userfacing features design build and maintain efficient reusable and reliable code
Working in an Agile team with an emphasis on quality testability and automation
Requirements
3 years of experience as a Python Developer
Experience with cloud environment like AWS or Azure
Experience with SaaS methodologies
Experience with SQL PostgreSQL Docker Kubernetes
Understanding of unit tests
Understanding and ability to apply in practice the OOP and SOLID principles
Ability to run PSR testing with the existing framework
Experience with CICD systems preferably with GitHub Actions
Problemsolving skills
Knowledge of Scrum Agile
English level  Intermediate or higher
We offer
Remotefirst work model with flexible working hours we provide all equipment
Comfortable and fully equipped offices in Lviv and Rzeszów
Competitive compensation with regular performance reviews
18 paid vacation days per year  all state holidays
12 days of paid sick leave per year without a medical certificate  extra paid leave for blood donation
Medical insurance with an affordable family coverage option
Mental health program which includes free and confidential consultations with a psychologist
English and German language courses
Corporate subscription to learning platforms regular meetups and webinars
Friendly team that values accountability innovation teamwork and customer satisfaction
Inclusive environment where everyone feels valued and treated equally We proudly partner with VeteranHub to support Ukrainian veterans
We are committed to supporting Ukraine and actively participate in charity initiatives",Edvantis
Python Cloud Engineer,"Lemberg Solutions is above all a group of passionate professionals led by a core team that have been meticulously selected over the last 15 years We are based in Lviv Rivne and Lutsk and opened GmbH in Hamburg Germany
At LS people come first We know that our success is based on our peoples achievements Each and every one of our 200 team members is highly valued for their hard work and were always excited to welcome new specialists ready to embrace challenges with us
PAY ATTENTION only those candidates who meet the listed requirements will receive an answer
Necessary skills and qualifications
At least 4 years of commercial experience with Python frameworks Flask FastAPI or Django REST etc
Experience with relationalnonrelational databases
Strong knowledge of the ObjectOriented Analysis and Design OOAD principles
Handson experience with application performance optimization and lowlevel debugging
Experience with AWS or Azure cloud services
Good knowledge of HTTP protocol
Knowledge of communication protocols MQTTXMPPAMQPRabbitMQWebSockets
Proactive position in solution development and process improvements
Ability to cooperate with customers and teammates
UpperIntermediate English level
Will be a plus
Experience with any other backend technologies
Experience with configuring SAML2 IDP
Experience with GraphQL
Ability to investigate new technological areas and understand them in depth through rapid selflearning
Handson experience collecting data from at least one hardware device such as Arduino or Raspberry Pi
Experience with contributing to and influencing technical strategic planning or responsibility for a technical strategy
Expertise in documenting technical solutions in different formats
What we offer
Time Off
18 days paid annual leave
10 days paid sick leave
5 days unpaid leave
5 days additional paid time off following your wedding or your childs birth
Paid public holidays
Workplace Benefits
Free English classes in groups
Flexible work schedule
Fully equipped workstation
Comfortable office
Access to a video library of soft skill workshops
Financial Benefits
Relocation support program
Financial support from LS in case of emergency reviewed individually
Overtime pay
Inhouse accounting service
Fun
Lviv IT Cluster gifts  discounts
Team building  industry events
About the project
Our typical Python projects consist of dynamic REST API services seamlessly integrated with cuttingedge cloud services from AWS and Azure Moreover our projects usually feature background services including data consumers workers or system daemons
Mainly we work with startup projects so you will need to solve specific challenges to help our customers meet their business requirements",Lemberg Solutions
Middle Software Engineer (Python or TypeScript) with LLM Experience," Details
We are looking for an experienced Software Engineer specializing in Large Language Models LLMs such as GPT34 and similar You will be involved in developing and integrating complex user scenarios using LLMs and writing Python or TypeScript code to enhance and expand the functionality of our customer support service
 Qualifications 
Experience with Langchain and Python or TypeScript
Preferable experience with MongoDB FastAPI and Docker
Experience with Linux
Basic knowledge of AWSGCP or Cloudflare
Experience with setup of basic CICD for example with GitHub Actions
Indepth knowledge and experience with LLMs including GPT34
Experience with prompt engineering understanding different methods of development optimization and validation of prompts
Experience with OpenAI API and knowledge of other AI technologies
Preferable experience in NLP Natural Language Processing
Excellent analytical and communication skills
Ability to approach tasks from a product perspective and make adjustments
Ability to develop and implement complex user scenarios
 Would be a plus
Knowledge of Grafana Prometheus and Loki will be a plus
Experience working with extracting text from large PDF files and with OCR will be a plus
 Responsibilities
Optimizing existing code working with LLM models embeddings vector storage vector search prompt engineering
Developing and implementing multilevel user scenarios in AI from scratch
Writing and testing Python or TypeScript code
Working with the OpenAI API and exploring the integration of other AI technologies
Ongoing RD in AI technologies
Collaborating with the development team and other company departments to achieve set goals
 Interview steps
Screening with the recruiter about 30 minutes
Live Coding session with Python Developer about 1 hour
Technical interview with CEO about 1 hour
Optional takehome task
 By joining us you will get
Accounting coverage and lawyer support
Paid Vacations
4 Public Holidays covered
30 unpaid DayOffs
Flexible working hours and the possibility to work remotely
Highquality working equipment including laptops and accessories
Office in FuturaHUB  modern workspace with an inspiring atmosphere Located in Lviv Kulparkivska 200a
Yoga massage and sports training
Corporate gifts for anniversaries birthdays and events
Happy Hours parties
Office snacks and drinks along with a chillout area equipped with gaming consoles table tennis and table soccer
 Our office in Lviv
FuturaHUB is located in Lviv Kulparkivska 200a
An inspiring modern workplace with a great atmosphere and development culture
Happy Hours parties
Yoga and sports training in FuturaHUB
Chillout area gaming zone with the PlayStations table tennis  table soccer
Beer coffee tea cookies etc
Conference rooms
 Some of our Values
No overtime and pressure
Regular rest burnout control
Clean relationships within the company and with the client
Responsibility for the own development ideas and interests communication as well for the problems that stand in the way of this development
Openness to the new readiness for changes",COXIT
Python Developer,"Українська ITкомпанія Nova Digital що входить в групу компаній NOVA  це потужний виробник вебдодатків та програмного забезпечення для архітектур будьякої складності та навантаженості на них Ми створюємо обслуговуємо та постійно вдосконалюємо програмні продукти зручність яких вже оцінили 32 мільйони приватних та бізнесклієнтів Нової пошти Ми розширюємо нашу команду тому наразі ми у пошуку
Python Developer
Чим ти займатимешся
Написання ETL паплайнів із використанням мови програмування Python Apache Airflow
Інтеграції з API інтерфейсами систем компанії
Робота з інструментами Google Cloud Platform BigQuery PubSub CloudSQL Composer Dataproc
Написання пайплайнів для прорахунку необхідних аналітичних даних згідно поставлених технічних завдань
Підвищення ефективності роботи з базами даних MS SQL PostgreSQL
Удосконалення поточної архітектури взаємодії систем відділу
Робота з системою контроля версій GitLab документування розробки
Про тебе
Комерційний досвід роботи в якості Python  SQL розробника від 2 років
Гарні знання ООП Python
Впевнено працюєш з форматами даних JSON XML
Навички роботи з Apache Airflow MS SQL Server PostgreSQL Google Cloud Platform
Досвід побудови ETL процесів
Рівень володіння англійської мови В1
Буде плюсом
Досвід з PySpark MongoDB побудова Data Lake
Досвід роботи з Docker розуміння CICD
Досвід роботи в сфері логістики або поштових сервісів
Ми пропонуємо
Офіційне працевлаштування
Оплачувану відпустку
Медичне страхування
Необхідну техніку для роботи
Корпоративну культуру яка мотивує та заряджає позитивом
Роботу в соціально відповідальній компанії що слідкує за трендами цінує ідеї співробітників і розвивається разом з ним
Можливість безпосередньо впливати на створення продукту яким користуються мільйони користувачів
Можливість роботи віддалено або у сучасному офісі за бажанням
Надсилай своє резюме будемо знайомитись ",Nova Digital
Python UAV Developer (Only Kyiv location),"Must have skills
Proficiency in programming languages commonly used for UAV navigation applications such as Python C or Golang is a plus experience with Python development frameworks and libraries
Understand and implement navigation algorithms specific to UAVs including but not limited to path planning and obstacle avoidance algorithms GPSbased navigation and geospatial data processing inertial navigation systems IMU integration
Familiarity with UAV flight control systems and protocols such as PX4 and ArduPilot
Understanding of geospatial data formats GIS Geographic Information Systems and the ability to process and analyze geospatial data for navigation and mapping purposes
Working experience with microcontrollers and microcomputing such as Jetson Raspberry Pi etc
The capability to interface with and integrate various sensors and peripherals on UAVs including cameras lidar GPS receivers
Strong problemsolving skills to address technical challenges and troubleshoot issues that may arise during UAV navigation software development
Experience with profiling of multiprocess and multithreaded applications
Knowledge of security approaches and skills to work with NDA projects
At least an UpperIntermediate level of English spoken and written
Nice to have skills
Bachelors or Masters degree in Aerospace Computer Science Electrical or Computer Engineering Robotics or a related field
Knowledge of remote sensing technologies and data transmission protocols for realtime monitoring and control of UAVs
As we are working on autonomous decisionmaking understanding the core principles of integration is required
Experience in simulating UAV environments and conducting thorough testing to ensure the reliability and safety of navigation systemsAirsim Gazebo UnrealEngine would be a plus
Your tasks will include
Integrate algorithms and UAV
Taking part in test flights
Working on solution optimization and speed up
Adapting the solution to different boards
Pipeline creation and automation
Work on system security
Benefits
Developing cuttingedge software solutions to tackle genuine challenges
Collaborating with experienced professionals who share a common goal
Fulltime working day from 0900 to 1800
Work in an office in the suburbs of Kyiv transfer from the subway
Official registration and working conditions according to the legislation of Ukraine
Possibility of reservation
Conscripts must have any military registration document even an expired one
About the company and project
The position opened to a clientpartner international company specializing in defense technologies with offices in Ukraine and Germany
They excel at designing robust solutions that significantly enhance autonomy and reliability in navigational systems for Unmanned Aerial Vehicles operations We are looking for a person who specializes in developing UAVs navigation applications This person should combine expertise in software development with a deep understanding of UAV technology and navigation principles as well as be aware of DS approaches in general",Quantum
Computer Vision Python Engineer,"У звязку з розширенням штату запрошує до нашої активної та амбіційної команди кваліфікованого розробника Python щоб приєднатися до нашої команди та сприяти розробці систем обробки відео для БПЛА
Ідеальний кандидат матиме великий досвід з Python та OpenCV Досвід роботи з GStreamer та Object tracking є великим плюсом Це захоплююча можливість працювати над інноваційними проектами які визначатимуть майбутнє розвитку БПЛА в світі
Обовязки
 Проектування розробка та оптимізація алгоритмів роботи з відео зображеннями та програмних компонентів для БПЛА
 Реалізувувати та підтримувати програмні рішення на Python для підтримки завдань обробки відео в реальному часі
 Проводити ретельне тестування та валідацію програмних модулів для забезпечення надійності точності та продуктивності за різних умов експлуатації
 Брати участь у кодревю та роботи з документацією для збереження високих стандартів якості програмного забезпечення
 Бути в курсі тенденцій та досягнень у галузі безпілотних літальних апаратів для впровадження нових функцій та покращень у наявні системи
 Надавати технічну підтримку та допомогу іншим членам команди включаючи відлагодження та вирішення проблем програмного забезпечення
Вимоги
 Експертний рівень володіння мовою програмування Python
 Знання алгоритмів обробки зображень та відео
 Досвід з GStreamer Numpy Object tracking Video processing Video streaming Embedded буде плюсом
 Відмінні навички вирішення проблем та увага до деталей здатність аналізувати складні питання
 Сильні комунікаційні навички та здатність працювати ефективно в команді
 Англійська мова
 Бакалаврський або магістерський ступінь у галузі компютерних наук інженерії або суміжній галузі буде плюсом
Ми пропонуємо
 Офіційне працевлаштування
 Своєчасну виплату заробітної плати
 Бонуси премії та надбавки
 Команду однодумців яка може надати допомогу і підтримку
 Середовище для постійного професійного розвитку навіть в умовах воєнного часу
 Комфортні умови праці обладнана сучасна кухня чайкава
 Можливість бронювання від мобілізації
Про компанію Квіточка RD
Ми  міжнародна компанія яка спеціалізується на розробці передових програмних рішень та систем відеоспостереження в галузі безпілотних літальних апаратів Ми є лідером індустрії в Україні та Європі та шукаємо талановитих інженерів що можуть підсилити нашу команду
Сайт компанії
httpskvitspace",Квіточка R&D
Middle Backend Engineer (Python),"Poklyk
is a
product company
specializing in developing and advancing our web and mobile applications
orderrycom
and
remonlineapp
 designed for SME automation Our services empower businesses to streamline processes and embrace a more technological approach
We seek a highly skilled
Middle Backend Engineer
to bolster our team At our organization we employ a product engineering methodology ensuring that our products are meticulously crafted to precisely meet the diverse business requirements of our valued users
Stack
Python 311 Django 4 DRF Celery PostgreSQL Redis RabbitMQ OpenAPI Swagger Pytest FastAPI
Requirements
 2 years of experience working as a Python Developer
 Strong programming skills in Python
 Understanding of the REST API model
 Experience with PostgreSQL raw SQL
 Experience with RabbitMQ Celery
 Experience with Redis
 Familiar with smokeunit testing with Pytest
 Experience with bash
 Experience with Git
Responsibilities
 Development of new functionality from scratch
 Development and description of new API methods
 Optimization and development of existing solutions
 Close interaction with development teams like QA Frontend DevOps
 Database query profiling and optimization
 Participants in the development of some microservice layers
Would be a plus
 Experience with Docker and Docker Compose
 Experience with DRF or FastAPI
 Knowledge of relational database indexingshardingpartitioning
Working terms
 Official employment
 Your direct involvement in product development we discuss every proposal for service improvement with the entire team
 Opportunity to work in an IT company recognized as a market leader in business automation services critical to the Ukrainian economy
 Flexibility to work in a hybrid format or remotely
 You become part of a company that has won prestigious programs such as MasterCard Start Path Ukraine Google for Startups and more
 18 working days of vacation 10 paid days off and sick leave
 English language courses
 Compensation for course expenses webinars and other related activities
 We provide legal and accounting support
Hiring process
 Intro call with a recruiter 30 min
 Preinterview with Team Lead 30 min
 Technical Interview with Team Lead and CTO 1h 30 min
 Offer from Poklyk
Lets create the future together ",Poklyk
Full-stack developer,"An earlystage startup pioneering the use of artificial intelligence in mental health support for coaches and athletes With a mission to give the worlds athletes a head start we are dedicated to harnessing the power of the mind through technology offering a frictionless solution that athletes would enjoy using
You will be a key player in the next phase of our platforms evolution With your expertise in Angular for the front end and Nextjs for the backend you will develop intuitive efficient and impactful features that support our mission of improving mental health and athletic performance
Qualifications
 4 years of professional development experience
 Proficiency in Python JavaScript ReactNodejs and especially Nextjs
 Experience with databases like MySQL and MongoDB and familiarity with web development
tools and CICD pipelines
 Knowledge in DevOps practices and cloudbased infrastructure AWS Azure Google Cloud
 Bachelors degree in Computer Engineering IT or related field or equivalent experience
 Experience with microservices Docker Kubernetes is a plus
 Prior work with healthcare companies is an advantage
 Familiarity with security practices and encryption
Who You Are
 Energetic and enthusiastic with a relentless drive to learn
 Autonomous selfmotivated and agile
 Curious about the world always challenging the status quo constructively
Your Role
 Develop and maintain highquality innovative software solutions
 Collaborate with teams and product managers to ideate and implement new features
 Work with databases servers APIs version control systems and thirdparty apps
 Identify and resolve software inefficiencies focusing on scalability performance reliability and
security
 Stay abreast of new development tools frameworks and best practices",INDIGO - Tech Recruiters
